CODICE_VIA;STATO;TIPO;DENOMINAZIONE;DATA_INTITOLAZIONE;ANNO_SOPPRESSIONE;DESCRITTIVO;ANNCSU;OPENSTREETMAP;PROGANNCSU;TOPONIMO_OSM;RATIO
2111;2;1;SETTALA LODOVICO;0;0;LODOVICO SETTALA;LODOVICO SETTALA;LODOVICO SETTALA;;Via Lodovico Settala;100
2112;2;1;LAZZARETTO;0;0;LAZZARETTO;LAZZARETTO;LAZZARETTO;;Via Lazzaretto;100
2113;2;1;ZAROTTO ANTONIO;0;0;ANTONIO ZAROTTO;ANTONIO ZAROTTO;ANTONIO ZAROTTO;;Via Antonio Zarotto;100
2114;2;1;MANUZIO ALDO;0;0;ALDO MANUZIO;ALDO MANUZIO;ALDO MANUZIO;;Via Aldo Manuzio;100
2115;2;1;FRANCHETTI RAIMONDO;0;0;RAIMONDO FRANCHETTI;RAIMONDO FRANCHETTI;RAIMONDO FRANCHETTI;;Via Raimondo Franchetti;100
2116;2;1;RAZZA LUIGI;0;0;LUIGI RAZZA;LUIGI RAZZA;LUIGI RAZZA;;Via Luigi Razza;100
2117;2;1;GIOVANNI ALLA PAGLIA (SAN);0;0;SAN GIOVANNI ALLA PAGLIA;SAN GIOVANNI ALLA PAGLIA;SAN GIOVANNI ALLA PAGLIA;;Via San Giovanni alla Paglia;100
2118;2;1;TENCA CARLO;0;0;CARLO TENCA;CARLO TENCA;CARLO TENCA;;Via Carlo Tenca;100
2119;2;1;CASTALDI PANFILO;0;0;PANFILO CASTALDI;PANFILO CASTALDI;PANFILO CASTALDI;;Via Panfilo Castaldi;100
2120;2;1;FINOCCHIARO APRILE;0;0;CAMILLO FINOCCHIARO APRILE;CAMILLO FINOCCHIARO APRILE;CAMILLO FINOCCHIARO APRILE;;Via Camillo Finocchiaro Aprile;100
2121;2;2;TUNISIA;0;0;TUNISIA;TUNISIA;TUNISIA;;Viale Tunisia;100
2122;2;1;CASATI FELICE;0;0;FELICE CASATI;FELICE CASATI;FELICE CASATI;;Via Felice Casati;100
2123;2;1;GREGORIO (SAN);0;0;SAN GREGORIO;SAN GREGORIO;SAN GREGORIO;;Via San Gregorio;100
2124;2;4;BELLINTANI FRA' PAOLO;0;0;FRA PAOLO BELLINTANI;FRA PAOLO BELLINTANI;FRA PAOLO BELLINTANI;;Largo Fra Paolo Bellintani;100
2125;2;3;CINCINNATO;0;0;CINCINNATO;CINCINNATO;CINCINNATO;;Piazza Cincinnato;100
2126;2;1;TORRIANI NAPO;0;0;NAPO TORRIANI;NAPO TORRIANI;NAPO TORRIANI;;Via Napo Torriani;100
2127;2;1;SETTEMBRINI LUIGI;0;0;LUIGI SETTEMBRINI;LUIGI SETTEMBRINI;LUIGI SETTEMBRINI;;Via Luigi Settembrini;100
2128;2;1;MARCELLO BENEDETTO;0;0;BENEDETTO MARCELLO;BENEDETTO MARCELLO;BENEDETTO MARCELLO;;Via Benedetto Marcello;100
